,Names,Date,Month,Location,Notes,Link
90,Los Altos hacks VI,Sep 24th,Sep,"
          Sunnyvale,
          California
        ",in_person,https://losaltoshacks.com
91,WWPHacks,Sep 24th - 25th,Sep,"
          Everywhere,
          Worldwide
        ",online,http://wwphacks.org/
92,DevJams,Sep 30th - Oct 2nd,Sep,"
          Vellore,
          India
        ",in_person,https://devjams.dscvit.com/
93,Shark Hacks 4,Sep 30th - Oct 2nd,Sep,"
          APAC Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8407-shark-hacks-4
94,Slam Dunk Hacks 2,Sep 30th - Oct 2nd,Sep,"
          North American Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8406-slam-dunk-hacks-2
95,AIHacks4Good,Oct 1st - 2nd,Oct,"
          Everywhere,
          Worldwide
        ",online,https://aihacks4good.github.io/
96,hackUMBC,Oct 1st - 2nd,Oct,"
          Baltimore,
          Maryland
        ",in_person,https://www.hackumbc.org/
97,HackUTA,Oct 1st - 2nd,Oct,"
          Arlington,
          Texas
        ",in_person,https://hackuta.org/
98,HackVSIT 4.0,Oct 1st - 2nd,Oct,"
          Delhi,
          India
        ",hybrid,https://hack-vsit.tech/
99,MAIS Hacks,Oct 1st - 2nd,Oct,"
          Montreal,
          Quebec, Canada
        ",in_person,https://maishacks.com
100,The GoldenHack,Oct 1st - 2nd,Oct,"
          Waterloo,
          Canada
        ",in_person,https://www.thegoldenhack.ca
101,Hack And Snack,Oct 7th - 9th,Oct,"
          APAC Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8523-hack-and-snack
102,RoboHacks 2,Oct 7th - 9th,Oct,"
          North American Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8521-robohacks-2
103,TAMU Datathon,Oct 8th - 9th,Oct,"
          Everywhere,
          Worldwide
        ","Hybrid, Digital Focus",https://tamudatathon.com/
104,TIE U - Appathon,Oct 8th - 9th,Oct,"
          Everywhere,
          Worldwide
        ","Hybrid, Digital Focus",https://appathon22.devpost.com/rules
105,BeagleHacks,Oct 14th - 16th,Oct,"
          North American Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8522-huskyhacks
106,BigRed//Hacks,Oct 14th - 16th,Oct,"
          Ithaca,
          New York
        ",hybrid,https://bigredhacks.com/
107,DandyHacks,Oct 14th - 16th,Oct,"
          Rochester,
          New York
        ",in_person,https://dandyhacks.net/
108,Hackathon Ensenada,Oct 14th - 15th,Oct,"
          Ensenada,
          Mexico
        ",in_person,https://wecancode.org/hackathon-2022/
109,Hackfest,Oct 14th - 16th,Oct,"
          Everywhere,
          Worldwide
        ",online,https://hackfest.remotebase.com/
110,HackHarvard 2022,Oct 14th - 16th,Oct,"
          Cambridge,
          Massachusetts
        ",in_person,https://hackharvard.io/
111,Hack the Valley,Oct 14th - 16th,Oct,"
          Toronto,
          Ontario
        ",in_person,https://hackthevalley.io/
112,Hack WashU,Oct 14th - 16th,Oct,"
          Everywhere,
          Worldwide
        ",online,http://hackwashu.com/
113,MHacks 15,Oct 14th - 16th,Oct,"
          Everywhere,
          Worldwide
        ",online,https://mhacks.org
114,YeeHaw Hacks 2,Oct 14th - 16th,Oct,"
          APAC Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8524-yeehaw-hacks-2
115,Ada Hack,Oct 15th,Oct,"
          Edinburgh,
          United Kingdom
        ",in_person,https://adahack.net/
